Title,Artist,Nationality,Gender,Date,Medium,Classification,Department,DateAcquired,Height (cm),Width (cm)
"Vignette next to ""Unchanged"" (Vignette bei ""Unverändert"") (headpiece, folio 21) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.4,5.3
"Vignette next to ""Oboe"" (Vignette bei ""Hoboe"") (headpiece, folio 22) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.4,5.1
"Vignette next to ""Springtime"" (Vignette bei Frühling) (headpiece, folio 22 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,11.9,8.9
"Vignette next to ""Hills"" (Vignette bei ""Hügel"") (headpiece, folio 5) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,9.9,4.1
"Vignette next to ""A Thing or Two"" (Vignette bei ""Einiges"") (headpiece, folio 23) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,4.6,6.2
"Riding Path (Reiterweg) (plate, folio 24) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,16.5,21.1
"Improvisation 20 (headpiece, folio 25) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.9,7.7
"White Sound (Weisser Klang) (plate, folio 26) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,8.8,9.7
"Vignette next to ""Still""? (Vignette bei ""Doch noch?"") (headpiece, folio 27) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.9,2.9
"Boat Trip (Kahnfahrt) (plate, folio 28) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,22,22.1
"Vignette next to ""Sounds"" (Vignette bei ""Klänge"") (headpiece, folio 29) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,3.9,3.4
"Improvisation 4 (plate, folio 30) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,14.7,17.9
"Improvisation 22, Variation I (Improvisation 22, Variation I) (headpiece, folio 31) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,7.5,7.3
"Vignette next to ""In Two"" (Vignette bei ""Der Riss"") (headpiece, folio 32 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.3,7.9
"Composition II (Komposition II) (plate, folio 7) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,14.9,21
"Black Spot (Schwarzer Fleck) (plate, folio 33) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,16.9,21.4
"Vignette next to ""Different"" (Vignette bei ""Anders"") (headpiece, folio 34) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.9,8.7
"Mountains (Berge) (plate, folio 35) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,11.9,17.7
"Vignette next to ""Exit"" (Vignette bei ""Ausgang"") (headpiece, folio 36) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.7,7.8
"Improvisation 7 (plate, folio 37) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,19.1,12.5
"Vignette next to ""In the Woods"" (Vignette bei ""Im Wald"") (headpiece, folio 38) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.8,5.5
"Apple Tree (Apfelbaum) (plate, folio 39) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,10,10
"Improvisation 19 (plate, folio 40) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,15,18.5
"Improvisation I (plate, folio 41) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,14,11.7
"Improvisation 22, Variation II (headpiece, folio 42) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.8,6.1
"Improvisation 24 (headpiece, folio 8) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,7.8,7.4
"Vignette next to ""White Foam"" (Vignette bei ""Weisser Schaum"") (headpiece, folio 42, verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,4.7,4.9
"Hill, Tree, Clouds and Figure (Hügel, Baum, Wolken und Figur) (tailpiece, folio 43) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,3.7,6.8
Judgement Day (Jüngster Tag) from Klänge (Sounds),Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,15.9,21.3
"Fountain (Springbrunnen) (headpiece, folio 45) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,4.4,9.8
"Vignette next to ""Adventure"" (Vignette bei ""Abenteuer"") (headpiece, folio 45 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,4.4,5.3
"All Saints' Day (Allerheiligen) (plate, folio 46) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,22,21.8
"The Baptized (Täuflinge) (plate, folio 47) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,9.9,13.5
"Vignette next to ""Chalk and Soot"" (Vignette bei ""Kreide und Russ"") (headpiece, folio 48) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.1,6.6
"Landscape with Figures and Crucifix (Landschaft mit Figuren und Kruzifix) (plate, folio 49) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,9.8,9.7
"Motif from Improvisation 10 (Motiv aus Improvisation 10) (plate, folio 50) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,14.9,18.7
"Lyrical (Lyrisches) (plate, folio 9) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,14.8,21.7
"Landscape with Upright White Figure (Landschaft mit aufrechter weisser Figur) (plate, folio 51) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,13.3,10.4
"Vignette next to ""Spring"" (Vignette bei ""Lenz"") (headpiece, folio 51 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,2,9.9
"Great Resurrection (Grosse Auferstehung) (plate, folio 52) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,22,21.7
"Vignette next to ""Leaves"" (Vignette bei ""Blätter"") (plate, folio 52) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.1,5.5
"The Veil (Der Schleier) (headpiece, folio 54 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,15.7,3.9
"Vignette next to ""Colorful Field"" (Vignette bei ""Bunte Wiese"") (headpiece, folio 56 verso) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,5.5,6.8
"Rider Motif in Oval Form (Reitermotiv in ovaler Form) (tailpiece, folio 59) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.7,7.5
"Vignette next to ""Bassoon"" (Vignette bei ""Fagott"") (headpiece, folio 10) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,6.5,14.8
"Two Women in Moonlit Landscape (Zwei Frauen in Mondlandschaft) (plate, folio 12) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,8.8,11.9
"Variation after Improvisation 21 (Variation nach Improvisation 21) (plate, folio 13) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,11.7,14
"Vignette next to ""Open"" (Vignette bei ""Offen"") (headpiece, folio 14) from Klänge (Sounds)",Vasily Kandinsky,(French),(Male),-1913,Woodcut from an illustrated book with fifty-six woodcuts,Illustrated Book,Drawings & Prints,10/6/64,7.4,7.7
Headpiece (folio 8) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,12.5,7.8
Le Verre d'eau,Eugène Nestor de Kermadec,(French),(Male),1949,Illustrated book with 40 lithographs,Illustrated Book,Drawings & Prints,10/6/64,24,22.7
In-text plate (folio 13 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.9,8.7
In-text plate (folio 14) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.6,8.5
In-text plate (folio 14 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,17.1,7.9
In-text plate (folio 15) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,13.1,8.1
In-text plate (folio 15 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.2,8.1
In-text plate (folio 16) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16,8.8
In-text plate (folio 16 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,12.5,7.4
In-text plate (folio 17) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.9,8.1
In-text plate (folio 17 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,15.7,6.8
In-text plate (folio 18) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.9,8.6
In-text plate (folio 8 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.2,6.9
In-text plate (folio 18 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.6,8.2
In-text plate (folio 19) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.1,8.6
Plate (folio 20) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,20.9,13.9
In-text plate (folio 22 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,12.1,8.3
In-text plate (folio 23) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,17.3,8.2
In-text plate (folio 23 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.7,8
In-text plate (folio 24) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,16.3,8
In-text plate (folio 24 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,14.1,7.8
In-text plate (folio 25) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,8.1,5
In-text plate (folio 25 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.3,8.5
In-text plate (folio 9) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.7,8.6
In-text plate (folio 26) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,17.1,8.1
In-text plate (folio 26 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,17,8.2
In-text plate (folio 27) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,15.8,7.8
In-text plate (folio 27 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,11,5.7
In-text plate (folio 28) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,17.1,8.2
In-text plate (folio 29) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,12.7,7
In-text plate (folio 29 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,14.2,8.1
In-text plate (folio 30) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,17,8.1
In-text plate (folio 30 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,15.5,8.1
In-text plate (folio 31) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,12.1,13.5
In-text plate (folio 9 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,17,8.2
Plate (folio 34) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in color",Illustrated Book,Drawings & Prints,10/6/64,14.2,15.3
In-text plate (folio 10) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,15.7,8.2
In-text plate (folio 10 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,13.4,8.2
In-text plate (folio 11 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,10.6,12.2
In-text plate (folio 12) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.6,8.5
In-text plate (folio 12 verso) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(Male),1949,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,10/6/64,16.1,8.2
Half title page from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,4.5,6.3
BESTIAIRE,Abram Krol,(French),(Male),1955,"15 engravings, printed in color; and 9 woodcuts, printed in black",Illustrated Book,Drawings & Prints,10/6/64,32,25.4
TIGER (plate IV) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.6,16.7
PIGEON (plate V) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.9,21.7
FOX (plate VI) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.4,16.8
GOAT (plate VII) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,23.6,17.6
TURTLE (plate VIII) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,18.3
OWL (plate IX) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,10.3
GIRAFFE (plate X) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,13.8
BULL (plate XI) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,22.1,18.7
DROMEDARY (plate XII) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,10.8
TURKEY (plate XIII) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,22.5,19.6
Title page from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,10.8,3.9
BEAR (plate XIV) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,12.8
REINDEER (plate XV) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.4,17.8
Tailpiece (colophon) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,3.1,4.9
Wrapper front from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,11,7
Folder front from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,11.2,7.4
Duplicate of title page from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,10.8,3.9
Duplicate of plate from page v from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,15,5
Duplicate of pictorial initial P from page vii from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,5,4.4
Plate (page v) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,15,5
Pictorial initial P (page vii) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,5,4.4
Tailpiece (page xvii) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,4.9,16.5
Pictorial initial P (table of plates) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Woodcut, printed in black",Illustrated Book,Drawings & Prints,10/6/64,4.3,2.4
ELEPHANT (plate I) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.5,18.2
MONKEY (plate II) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,25.7,10.9
BISON (plate III) from BESTIAIRE,Abram Krol,(French),(Male),1955,"Engraving, printed in color",Illustrated Book,Drawings & Prints,10/6/64,19.1,20.4
LE ROMAN DU LIÈVRE,Roger de La Fresnaye,(French),(Male),1929.  (Reproduced  gouache drawings executed prior to 1925; wood engravings and,"12 wood engravings executed by Jean-Gabriel Daragnès and Mailliez after gouache drawings, printed in color; and 5 added duplicates",Illustrated Book,Drawings & Prints,10/6/64,30,23.3
LES ILLUMINATIONS,Roger de La Fresnaye,(French),(Male),(1949).  (Reproduced  drawings executed prior to 1925; Wood engravings executed,"24 wood engravings (including ornaments) executed by Blaise Monod after pen and ink drawings, 3 printed in color",Illustrated Book,Drawings & Prints,10/6/64,24,16.2
TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1950.  (Prints executed 1911; book published  posthumously),"12 woodcuts (cut by Blaise Monod), printed in black on ivory, smooth, wove Van Gelder paper; and 2 supplementary suites (each including 4 rejected plates), 1 on ivory, smooth, laid China paper and 1 on cream, smooth, wove old Japan paper",Illustrated Book,Drawings & Prints,10/6/64,32,25
In-text plate (page 15) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,9.8,10.7
In-text plate (page 25) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,13.1,10.6
In-text plate (page 37) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.7,17.2
In-text plate (page 49) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,14.4,10.9
Plate (page 63) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,16.5,11.6
In-text plate (page 75) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,13.8,18.3
In-text plate (page 86) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,9,9.9
In-text plate (page 93) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.6,15.7
In-text plate (page 108) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.1,10.8
In-text plate (page 118) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.6,6.7
Plate (page 128) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,18,13.5
In-text plate (page 139) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.1,15.1
Duplicate of in-text plate from page 15 (prospectus) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,9.8,10.7
"Duplicate of in-text plate from page 15 (1st supplementary suite, plate 1) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,9.8,10.8
"Duplicate of in-text plate from page 25 (1st supplementary suite, plate 2) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,13.3,10.6
"Duplicate of in-text plate from page 37 (1st supplementary suite, plate 3) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,12.8,17.3
"Duplicate of in-text plate from page 49 (1st supplementary suite, plate 4) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,14.5,10.9
"Rejected plate for in-text plate from page 49 (1st supplementary suite, plate 5) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,15.3,10.7
"Duplicate of plate from page 63 (1st supplementary suite, plate 6) from TÊTE D'OR",Roger de La Fresnaye,(French),(Male),1911-1950,,Illustrated Book,Drawings & Prints,10/6/64,16.5,11.8
